Category,Manufacturer,Name,Conductivity {W/m-K},Thermal Diffusivity [mm2/s],Specific Heat {J/kg-K},Thermal Effusivity [Ws0.5/m2?K],Density {kg/m3},Roughness,Thermal Absorptance,Solar Absorptance,Visible Absorptance,Source,Date
Raw material,Thermtest,gadolinium boride (GdB6) (95.6 pc dens),20.502,6.53,628,8021,5000,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,gadolinium oxide (Gd2O3) (monoc) (98 d),10.042,4.53,290,4717,7640,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,gallium,33.472,15.2,372,8581,5907,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Liquid,Thermtest,gallium (liquid),33.472,13.8,399,9015,6090,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Gas ,Thermtest,gasoline,0.151,0.09,2100,488,750,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,germanium (intrinsic p-type),58.576,34.1,322,10025,5325,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,germanium (n-type),58.576,34.1,322,10025,5325,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Glass ,Thermtest,glass (avg prop),1.046,0.54,837,1419,2300,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Glass ,Thermtest,glass borosilicate crown,1.046,0.62,669,1328,2520,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,glycerol,0.271,0.08,2400,906,1262,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,gold,317.98,129,128,28027,19300,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal Liquid,Thermtest,gold (liquid),167.36,65.4,149,20699,17240,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,granite (avg prop),2.51,1.13,837,2359,2650,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,granite (high k),3.975,1.79,837,2969,2650,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,granite (low k),1.715,0.77,837,1950,2650,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,Graphite Sheet 100 um (in-plane),700,968,850,22489,850,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,Graphite Sheet 25 um (in-plane),1600,896,850,53442,2100,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,Graphite Sheet 70 um (in-plane),800,855,850,27350,1100,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Gypsum Metal ,Thermtest,gypsum - calcium sulfate dihydrate (CaSO4.4H2O),1.297,0.51,1088,1809,2320,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Gypsum ,Thermtest,gypsum (CaCO4 4H2O) (artificial),0.753,0.33,1088,1315,2110,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,hafnium,22.175,11.8,142,6454,13200,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,hafnium boride (HfB2),41.84,14.9,251,10845,11200,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,hafnium carbide (HfC),29.288,12.3,188,8336,12600,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,hafnium nitride (HfN),11.715,5.16,209,5157,10850,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,hafnium oxide (HfO2) (monoc) (94 d),1.674,0.68,272,2035,9100,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Stone ,Thermtest,hard fired silica brick (SiO2 94-95),1.674,1.24,753,1506,1800,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Gas ,Thermtest,helium (gas),0.15,164,5188,12,0.177,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,hematite (Fe2O3),12.552,3.82,628,6425,5240,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,holmium,10.042,6.9,165,3822,8800,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,hydrazine,0.57,0.1832,3080,1331.7,1010,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,hydrogen,0.12,0.1943,8700,272.2,71,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Gas ,Thermtest,hydrogen (gas),0.186,145,14230,15,0.0899,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,indium,23.43,13.5,239,6387,7300,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Liquid,Thermtest,indium (liquid),43.932,23.5,266,9065,7030,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,indium antimonide (InSb) (imp 0.16),16.318,10.7,218,4986,7000,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,indium antimonide (insb) (imp 0.33-1.2),71.128,46.7,218,10409,7000,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Plastic ,Thermtest,indium arsenide (inas) (polyx imp 3.0),52.718,35,251,8910,6000,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,indium arsenide (inas) (pure s-doped),26.778,17.8,251,6350,6000,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,indium telluride (In2Te3),1.255,1.35,201,1080,4629,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Solid ,Thermtest,iodine (solid),0.004,0,218,68,4930,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,iridium,146.44,50.2,130,20672,22500,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal Floor Covering Tile ,Thermtest,iron ductile (0.06 mg),33.472,9.79,460,10698,7430,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,iron grey cast pearlitic (3.4 c),58.576,17.7,460,13922,7190,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,iron ni-resist type d2 (cast),13.389,3.93,460,6757,7410,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,iron wrought (various),58.576,16.5,460,14407,7700,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,iron (0 to 3000 deg c),71.965,20.4,448,15924,7870,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,iron (-273 to 763 deg c),71.965,20.4,448,15924,7870,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,iron (-51 to 1537 deg c),71.128,20.2,448,15831,7870,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal Floor Covering Tile ,Thermtest,iron ductile,28.87,8.71,460,9781,7200,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal Floor Covering Tile ,Thermtest,iron ductile (Mg containing),33.054,9.98,460,10465,7200,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,iron grey cast ferritic (2.3-3.0 c),50.208,15.2,460,12889,7190,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,iron grey cast ferritic (3.2-3.8 c),71.128,21.5,460,15341,7190,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,iron grey cast pearlitic (2.3-3.0 c),41.84,12.6,460,11766,7190,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,iron grey cast pearlitic (3.0-3.2 c),50.208,15.2,460,12889,7190,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,iron grey cast pearlitic (3.7-3.8 c),66.944,20.2,460,14883,7190,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,iron grey cast pearlitic (4.12 c),79.496,24,460,16218,7190,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,iron ingot (fe99.9+),71.128,20.2,448,15831,7870,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,iron malleable (2.5 c),51.045,13.5,527,13920,7200,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,iron ni-hard types 1 and 2 (kovar),14.226,4.02,460,7100,7700,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,iron ni-resist type 3 (cast),39.33,11.6,460,11573,7400,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,iron ni-resist type 4 (cast),37.656,10.1,502,11828,7400,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,iron ni-resist types 1 and 2 (cast),39.748,11.8,460,11556,7300,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,iron ni-tensyliron (cast heat treat),46.024,13.9,460,12349,7200,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,iron nodular cast ferritic base,37.656,11.4,460,11170,7200,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,iron nodular cast pearlitic base,37.656,11.4,460,11170,7200,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,iron oxide - hematite (Fe2O3),12.552,3.82,628,6425,5240,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,iron oxide - magnatite (FeO.Fe2O3),5.021,1.48,653,4128,5200,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal Solid ,Thermtest,iron sulfide (FeS2) (single crystal),37.907,13.6,557,10270,5000,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,isooctane,0.1,0.0688,2100,381.2,692,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Stone ,Thermtest,kaolin brick,0.084,0.36,774,139,300,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Stone ,Thermtest,kaolin brick,0.251,0.75,774,289,430,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,kerosene,0.13,0.3476,2000,220.5,820,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Gas ,Thermtest,krypton (gas),0.009,99.9,247,1,0.3733,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal Solid ,Thermtest,kyanite - aluminum silicate (Al2O3.SiO2) (tricl crystal),17.322,6.16,770,6977,3650,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,lanthanum,13.807,11.6,193,4059,6200,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,lanthanum boride (LaB6) (99.5 pc dense),47.698,16.5,628,11735,4600,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,lawrencium,12.552,8.34,126,4348,12000,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,lead,34.309,23.3,130,7107,11350,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Liquid,Thermtest,lead (liquid),16.318,10.2,151,5104,10600,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,lead alloy (Pb39.2 Sn60.8) (solder),50.208,30,197,9160,8500,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,lead alloy (Pb50 Sn50) (solder),46.024,24.3,213,9344,8890,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,lead alloy (Pb60 Sn40) (solder),47.279,22.3,230,10004,9200,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,lead alloy (solder) (Sn37.5 Pb37.5 In25),56.902,27.5,239,10860,8690,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,lead antimonial (Pb Sb 4-6) (hard),29.706,20.2,134,6603,10960,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,lead antimonial (Pb Sb 8-9),26.987,18.8,134,6218,10700,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Glass ,Thermtest,lead glass,1.13,0.74,502,1313,3040,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,lead oxide (PbO) (yellow),2.929,1.79,205,2192,8000,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Plastic ,Thermtest,lead telluride (PbTe) (polyxtal),2.343,1.91,151,1697,8160,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Solid ,Thermtest,lead telluride (pbte) (single crystal),2.092,1.7,151,1603,8160,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Liquid,Thermtest,light mineral oil,0.129,0.08,1717,441,880,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Stone ,Thermtest,limestone (dense dry),1.674,0.73,921,1962,2500,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Stone ,Thermtest,limestone (H2O 15.3),0.92,0.61,921,1182,1650,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,lithium,71.128,38.2,3515,11511,530,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Liquid,Thermtest,lithium (liquid),42.258,19.7,4226,9525,508,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,lithium aluminum silicate (b-spodumene),1.046,0.27,1255,2017,3100,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,lithium cobalt nickel oxide(46NiO.46CoO.8LiO),3.598,0.74,753,4197,6500,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Plastic ,Thermtest,lithium fluoride (LiF 96) (plastic bnd),10.042,2.5,1632,6349,2460,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Solid ,Thermtest,lithium fluoride (LiF) (single crystal),11.088,2.57,1632,6912,2640,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,lithium hydride (LiH),7.322,2.5,4184,4631,700,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Gas ,Thermtest,lithium hydride (lih) (cast gas voids),12.97,4.43,4184,6163,700,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,lithium manganese selenide (97mn.3li.-),2.803,1.32,385,2436,5500,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,lithium nickel oxide (5LiO.95NiO),13.18,2.81,711,7866,6600,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,lithium tetraborate (Li2O.2B2O3) (epoxy),1.757,0.73,1130,2061,2140,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,lutetium,10.46,7.05,151,3939,9850,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,lx-04 h.e. (hmx 85 viton a 15),0.448,0.23,1023,925,1870,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,lx-07 h.e. (hmx 90 viton a 10),0.502,0.26,1049,992,1870,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,lx-09 h.e. (hmx 93 dnpa 4.6 fefo 2.4),0.515,0.27,1056,1000,1840,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,lx-10 h.e. (hmx 95 viton a 5),0.515,0.26,1056,1005,1860,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,lx-o4-1 h.e. (hmx 85 viton a 15),0.387,0.18,1172,919,1865,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Glass ,Thermtest,machinable glass ceramic (macor),1.46,0.73,790,2520,1704,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Stone ,Thermtest,magnesite brick (MgO 87),3.849,1.82,837,2855,2530,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Stone ,Thermtest,magnesite brick a (MgO 90) (14.5 p),4.937,1.92,837,3567,3080,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Stone ,Thermtest,magnesite brick b (MgO 93) (22.6 p),4.812,2.08,837,3334,2760,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Stone ,Thermtest,magnesite brick c (MgO 86) (17.8 p),3.682,1.51,837,2999,2920,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Stone ,Thermtest,magnesite brick spall res (MgO 89),3.473,1.55,837,2785,2670,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,magnesium,150.62,86.2,1004,16221,1740,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal Liquid,Thermtest,magnesium (liquid),83.68,39.8,1339,13263,1570,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,magnesium alloy (Mg Ag2.5 Ce2 Zr0.6),112.97,64.5,962,14066,1820,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,magnesium alloy 1959 (Mg Ce4.33),129.7,72.6,1004,15225,1780,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,magnesium alloy 1960 (Mg Ce6.7),118.83,67.3,1004,14491,1760,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,magnesium alloy 1961 (Mg Ce11.85),96.232,57.5,962,12694,1740,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,magnesium alloy 1964 (Mg Ce5 Co2 Mn0.8),121.34,68.7,1004,14643,1760,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,magnesium alloy 1992 (Mg Ce4.45 Co3),129.7,77.5,962,14737,1740,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,magnesium alloy a3a (wrought),108.78,60,1025,14048,1770,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,magnesium alloy a8(ac or st) (casting),83.68,45.1,1025,12460,1810,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,magnesium alloy am100a (casting),58.576,31.6,1025,10425,1810,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,magnesium alloy az31(x s) (wrought),83.68,48,983,12085,1775,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,magnesium alloy az31b(p s) (wrought),83.68,47.1,1004,12195,1770,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,magnesium alloy az61a(x) azm (wrought),75.312,40.8,1025,11788,1800,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,magnesium alloy az63a (ac f) (casting),71.128,37.8,1025,11566,1835,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,magnesium alloy az80a (x frgd) (wrought),54.392,31.4,962,9706,1800,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,magnesium alloy az81a (t4) (casting),54.392,30.1,1004,9914,1800,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
