Category,Manufacturer,Name,Conductivity {W/m-K},Thermal Diffusivity [mm2/s],Specific Heat {J/kg-K},Thermal Effusivity [Ws0.5/m2?K],Density {kg/m3},Roughness,Thermal Absorptance,Solar Absorptance,Visible Absorptance,Source,Date
Metal ,Thermtest,beryllium oxide + Be + Mo (Be 7 Mo 7),158.99,51.5,1038,22158,2975,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,beryllium oxide + Be + Si,192.46,63.5,1046,24162,2900,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Metal ,Thermtest,beryllium oxide porcelain (4811),125.52,43.1,1004,19117,2900,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,beta-spodumene (Li2O.Al2O3.4SiO2) (tet),1.046,0.27,1255,2017,3100,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,bismuth,8.368,7.08,121,3146,9750,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Liquid,Thermtest,bismuth (liquid),10.878,7.64,142,3934,10000,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,bismuth telluride (Bi2Te3-P) (plane dr),2.51,2.11,154,1728,7700,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,bismuth telluride sulfide (Bi2Te2S),2.385,2,176,1688,6800,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,boride z cermet (ZrB2 81-87 MoSi2 13),20.92,8.01,502,7391,5200,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,borolite 101 cermet (ZrB2 93-96 B 4-7),27.614,11.3,460,8207,5300,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
